"8";"Власть над погодой  [Control weather]";"8 круг, преобразование";"10 минут";"На себя (5 миль радиус)";"В, С, М";"Концентрация, вплоть до 8 часов";"(горящее благовоние и кусочки земли и дерева, смешанные с водой)Вы получаете на время длительности контроль над погодой в пределах 5 миль от себя. Для накладывания этого заклинания вы должны находиться на открытом воздухе. Если вы переместитесь в место, где над головой не будет неба, заклинание тут же закончится.<br>
Когда вы накладываете это заклинание, вы изменяете текущую погоду, которую определяет Мастер в зависимости от климата и времени года. Вы можете изменить осадки, температуру и ветер. Требуется 1к4 × 10 минут, чтобы новые условия вступили в силу. Когда новые условия вступят в силу, вы можете создать новые условия. Когда заклинание оканчивается, погода постепенно возвращается к нормальной.<br>
Изменяя погоду, найдите текущее состояние в таблицах и измените их на одну позицию выше или ниже. Изменяя ветер, можете изменить его направление.<br>





";"жрец"
"3";"Возрождение  [Revivify]";"3 круг, некромантия";"1 действие";"Касание";"В, С, М";"Мгновенная";"(бриллианты, стоящие в сумме 300 зм, расходуемые заклинанием)Вы касаетесь существа, мёртвого не больше минуты. Это существо возвращается к жизни с 1 хитом. Это заклинание не может оживить существ, умерших от старости, а также не восстанавливает отсутствующие части тел.<br>";"жрец"
"7";"Воскрешение [Resurrection]";"7 круг, некромантия";"1 час";"Касание";"В, С, М";"Мгновенная";"(бриллиант, стоящий как минимум 1 000 зм, расходуемый заклинанием)Вы касаетесь существа, мёртвого не больше ста лет, умершего не от старости, и не являющегося нежитью. Если его душа свободна и согласна, цель возвращается к жизни с полными хитами.<br>
Это заклинание нейтрализует все яды и исцеляет немагические болезни, бывшие у существа в момент смерти. Однако это заклинание не снимает магические болезни, проклятья и подобные эффекты";"жрец"
"3";"Восставший труп [Animate dead]";"3 круг, некромантия";"1 минута";"10 футов";"В, С, М";"Мгновенная";"(капля крови, кусочек плоти и щепотка костной пыли)Это заклинание создает прислуживающую нежить. Выберите груду костей или труп гуманоида Среднего или Маленького размера в пределах дистанции. Ваше заклинание наделяет цель мерзким подобием жизни, делая из него существо-нежить. Цель становится скелетом, если вы выбирали кости или зомби, если вы выбрали труп (параметры есть у Мастера).<br>
В каждый свой ход вы можете бонусным действием мысленно приказать существу, созданному этим заклинанием, если оно находится в пределах 60 футов от вас (если вы контролируете несколько существ, вы можете отдавать один и тот же приказ любому количеству из них одновременно). Вы решаете, какое действие совершит это существо, и куда оно переместится в следующем ходу, или вы можете отдать общий приказ, например, охранять комнату или коридор. Если вы не отдадите команду, существо будет всего лишь защищаться от врагов. Получив приказ, существо продолжает его выполнять, пока задача не будет выполнена.<br>
Существо находится под вашим контролем 24 часа, после чего перестает слушаться команд. Для поддержания контроля ещё на 24 часа вы должны наложить это заклинание на него ещё раз до окончания 24-часового периода. Такое использование заклинания только поддерживает контроль над уже созданными существами, количество которых не может быть больше четырех, и не оживляет новых.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 4 уровня или выше, вы оживляете или продлеваете контроль над двумя дополнительными существами за каждый уровень ячейки выше третьего. Для каждого создаваемого существа требуется отдельная куча костей или труп.<br>";"жрец"
"9";"Врата [Gate]";"9 круг, вызов";"1 действие";"60 футов";"В, С, М";"Концентрация, вплоть до 1 минуты";"(бриллиант, стоящий как минимум 5 000 зм)Вы создаёте портал, соединяющий свободное пространство, видимое вами в пределах дистанции, с точным местом на другом плане существования. Портал представляет собой круглое отверстие, которое может быть диаметром от 5 до 20 футов. Вы можете ориентировать портал в любом направлении. Портал существует, пока заклинание активно.<br>
На каждом плане у портала есть передняя и задняя сторона. Путешествовать через портал можно только проходя через его переднюю часть. Всё, что так проходит, мгновенно перемещается на другой план, появляясь в свободном пространстве рядом с порталом.<br>
Божества и другие планарные правители могут предотвращать создание порталов этим заклинанием в их присутствии или где угодно в пределах их домена.<br>
Когда вы накладываете это заклинание, вы можете назвать имя конкретного существа (псевдоним, титул или прозвище не подходят). Если это существо находится на другом плане, портал открывается непосредственно возле него, и это существо втягивается, оказываясь в ближайшем свободном пространстве с вашей стороны портала. Вы не получаете над ним никакого особого контроля, и оно может действовать так, как сочтёт нужным Мастер. Оно может уйти, может напасть на вас, а может помочь вам.<br>";"жрец"
"5";"Высшее восстановление [Greater restoration]";"5 круг, ограждение";"1 действие";"Касание";"В, С, М";"Мгновенная";"(бриллиантовая пыль, стоящая как минимум 100 зм, расходуемая заклинанием)Вы наделяете существо, которого касаетесь, позитивной энергией, отменяющей ослабляющие эффекты. Вы можете уменьшить уровень истощения цели на 1, или окончить на ней один из следующих эффектов:<br>

Один эффект, делающий цель очарованной или окаменевшей<br>
Одно проклятье, включая настройку на проклятый магический предмет<br>
Любое уменьшение одной из характеристик цели<br>
Один эффект, уменьшающий максимум хитов цели<br>
";"жрец"
"2";"Гадание [Augury]";"2 круг, прорицание (ритуал)";"1 минута";"На себя";"В, С, М";"Мгновенная";"(особые палочки, костяшки или фигурки с отметинами, стоящие как минимум 25 зм)Подбрасывая инкрустированные камнями палочки, драконьи кости, раскладывая карты или используя другие инструменты для ворожбы, вы получаете знамение от иномировой сущности о результатах особого действия, которое вы планируете совершить в течение следующих 30 минут. Мастер выбирает одно из следующих возможных знамений:<br>

Благо, для хороших результатов <br>
Горе, для плохих результатов <br>
Благо и горе, для результатов, одновременно хороших и плохих <br>
Ничто, для результатов, которые и не хорошие и не плохие<br>

Заклинание не принимает в расчёт обстоятельства, способные изменить исход, такие как накладывание дополнительных заклинаний или потерю или обретение спутников.<br>
Если вы накладываете это заклинание несколько раз до завершения продолжительного отдыха, существует накопительный шанс 25 процентов за каждое использование, начиная со второго, что вы получите случайный ответ. Мастер совершает этот бросок скрытно.<br>";"жрец"
"2";"Глухота/слепота [Blindness/deafness]";"2 круг, некромантия";"1 действие";"30 футов";"В";"1 минута";"Вы можете ослепить врага или сделать его глухим. Выберите одно существо, которое видите в пределах дистанции, которое тут же совершает спасбросок Телосложения. В случае провала цель становится на время действия заклинания ослепшей или оглохшей (на ваш выбор). В конце каждого своего хода цель может совершать спасбросок Телосложения. В случае успеха заклинание оканчивается.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 3 уровня или выше, вы можете сделать целью одно дополнительное существо за каждый уровень ячейки выше второго.<br>";"жрец"
"3";"Дневной свет [Daylight]";"3 круг, воплощение";"1 действие";"60 футов";"В, С";"1 час";"Из точки, выбранной вами в пределах дистанции, распространяется сфера света с радиусом 60 футов. Сфера излучает яркий свет и тусклый свет в пределах ещё 60 футов.<br>
Если выбранная вами точка находится на предмете, который вы держите, несёте или носите, свет исходит из предмета и перемещается вместе с ним. Если полностью накрыть источник света непрозрачным предметом, например, чашей или шлемом, свет будет заблокирован.<br>
Если часть зоны этого заклинания накрывает зону тьмы, созданной заклинанием с уровнем не выше 3-го, заклинание, создавшее тьму, рассеивается.<br>";"жрец"
"3";"Духовные стражи [Spirit guardians]";"3 круг, вызов";"1 действие";"На себя (15-футов радиус)";"В, С, М";"Концентрация, вплоть до 10 минут";"(символ веры)Вы вызываете духов, защищающих вас. Пока заклинание активно, они заполняют пространство в пределах 15 футов от вас. Если вы добрый или нейтральный, они могут выглядеть как ангелы или феи (на ваш выбор). Если вы злой, они могут выглядеть исчадиями.<br>
Когда вы активируете это заклинание, вы можете указать любое количество существ, видимых вами, на которых не будет действовать это заклинание. Скорость остальных существ, попавших под действие заклинания в этой области уменьшена вдвое, и когда такое существо впервые за ход входит в область или начинает там ход, оно должно совершить спасбросок Мудрости. При провале существо получает урон излучением 3к8 (если вы добрый или нейтральный) или урон некротической энергией 3к8 (если вы злой). При успехе существо получает половину урона.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 4 уровня или выше, урон увеличивается на 1к8 за каждый уровень ячейки выше третьего.<br>";"жрец"
"2";"Заимствованные знания [Borrowed Knowledge]";"2 круг, прорицание";"1 действие";"На себя";"В, С, М";"1 час";"(книга стоимостью не менее 25 зм)Вы черпаете знания у духов прошлого.<br>
Выберите один навык, которым вы не владеете. На время действия заклинания вы получаете владение выбранным навыком. Заклинание заканчивается раньше, если вы накладываете его снова.<br>";"жрец"
"6";"Запрет [Forbiddance]";"6 круг, ограждение (ритуал)";"10 минут";"Касание";"В, С, М";"1 день";"(немного святой воды, редкие благовония и толчёный рубин, стоящий как минимум 1 000 зм)Вы создаёте защиту от магического перемещения, покрывающую до 40 000 квадратных футов пола и 30 футов над полом. Пока заклинание активно, существа не могут телепортироваться в эту область и использовать порталы, например, созданные заклинанием врата [gate], чтобы входить в эту область. Это заклинание предотвращает и перемещения между планами, поэтому защищает от перемещений с Астрального Плана, Эфирного Плана, из Страны Фей, Царства Теней, а также от заклинания уход в иной мир [plane shift].<br>
Кроме того, это заклинание причиняет урон всем существам вида, выбираемого вами при его накладывании. Выберите один или несколько видов существ: исчадия, небожители, нежить, феи и элементали. Когда существо выбранного вида впервые за ход входит в пространство заклинания или начинает в нём ход, оно получает урон излучением или некротической энергией 5к10 (вид урона выбираете вы при накладывании заклинания).<br>
Когда вы накладываете это заклинание, можете указать пароль. Существо, произносящее пароль при входе в эту местность, не получает урон от этого заклинания.<br>
Пространство этого заклинания не может перекрываться с пространством другого заклинания запрет. Если вы накладываете заклинание запрет [forbiddance] каждый день в течение 30 дней в одном и том же месте, заклинание длится, пока не будет рассеяно, и материальные компоненты последнего накладывания тратятся.<br>";"жрец"
"5";"Заражение [Contagion]";"5 круг, некромантия";"1 действие";"Касание";"В, С";"7 дней";"Ваше касание вызывает болезнь. Совершите рукопашную атаку заклинанием по существу, находящемуся в пределах вашей досягаемости. При попадании существо становится отравленным.<br>
В конце каждого своего хода отравленная цель должна совершать спасбросок Телосложения. Преуспев в трёх спасбросках, существо перестаёт быть отравленным, и заклинание оканчивается. После провала трёх таких спасбросков существо перестаёт быть отравленным и на время длительности заклинания заражается болезнью из списка ниже по вашему выбору.<br>
Поскольку это заклинание вызывает у цели настоящую болезнь, все эффекты, исцеляющие болезни и влияющие на течение болезней, применимы.<br>
<b>Воспаление разума</b>. Сознание существа лихорадит. Существо совершает с помехой проверки и спасброски Интеллекта, и в бою существо ведёт себя так, будто находится под действием заклинания смятение [confusion].<br>
<b>Гниение плоти</b>. Плоть существа начинает разлагаться. Существо совершает с помехой проверки Харизмы и получает уязвимость ко всем видам урона.<br>
<b>Грязевая лихорадка</b>. Грязевая лихорадка охватывает тело существа. Существо совершает с помехой проверки Силы, спасброски Силы и броски атаки, использующие Силу.<br>
<b>Припадок</b>. Существо сотрясают неостановимые судороги. Существо совершает с помехой проверки Ловкости, спасброски Ловкости и броски атаки, использующие Ловкость.<br>
<b>Склизкая смерть</b>. Существо начинает неконтролируемо кровоточить. Существо совершает с помехой проверки и спасброски Телосложения. Кроме того, каждый раз, когда цель получает урон, она становится ошеломлённой до конца своего следующего хода.<br>
<b>Слепотуха</b>. Боль заволакивает сознание существа, а его глаза становятся молочно-белыми. Существо совершает с помехой проверки и спасброски Мудрости, и становится ослеплённым.<br>";"жрец"
"1";"Защита от зла и добра [Protection from evil and good]";"1 круг, ограждение";"1 действие";"Касание";"В, С, М";"Концентрация, вплоть до 10 минут";"(святая вода или порошок серебра и железа, расходуемые заклинанием)Пока заклинание активно, одно согласное существо, которого вы коснулись, защищено от существ следующих видов: аберрации, исчадия, небожители, нежить, феи и элементали.<br>
Защита предоставляет несколько преимуществ. Данные существа совершают с помехой броски атаки по цели. Цель также не может быть очарована, испугана и одержима ими. Если цель уже очарована, испугана или одержима таким существом, цель совершает последующие спасброски от таких эффектов с преимуществом.<br>";"жрец"
"4";"Защита от смерти [Death ward]";"4 круг, ограждение";"1 действие";"Касание";"В, С";"8 часов";"Вы касаетесь существа и даруете ему некоторую защиту от смерти.<br>
Когда хиты цели впервые опускаются до 0 из-за получения урона, хиты цели опускаются всего лишь до 1, и заклинание заканчивается.<br>
Если заклинание ещё действует, а цель попадает под действие эффекта, убивающего её мгновенно, не причиняя урона, то этот эффект игнорируется, и заклинание заканчивается.<br>";"жрец"
"3";"Защита от энергии [Protection from energy]";"3 круг, ограждение";"1 действие";"Касание";"В, С";"Концентрация, вплоть до 1 часа";"Пока заклинание активно, согласное существо, которого вы коснулись, получает сопротивление одному виду урона на ваш выбор: звук, кислота, огонь, холод или электричество.<br>";"жрец"
"2";"Защита от яда [Protection from poison]";"2 круг, ограждение";"1 действие";"Касание";"В, С";"1 час";"Вы касаетесь существа. Если оно отравлено, вы нейтрализуете яд. Если на цель действуют несколько ядов, вы нейтрализуете тот, о котором знаете, либо же один случайным образом выбранный яд.<br>
Пока заклинание активно, цель совершает с преимуществом спасброски от отравленного состояния и получает сопротивление урону ядом.<br>";"жрец"
"8";"Землетрясение [Earthquake]";"8 круг, воплощение";"1 действие";"500 футов";"В, С, М";"Концентрация, вплоть до 1 минуты";"(щепотка земли, кусочек камня и комочек глины)Вы создаёте сейсмические возмущения в точке на земле, которую видите в пределах дистанции. Пока заклинание активно, на земле в круге с радиусом 100 футов от этой точки ощущаются интенсивные толчки, сотрясающие существ и строения, находящиеся там.<br>
Местность в этой области становится труднопроходимой. Все существа, находящиеся на земле и концентрирующиеся при этом, должны совершить спасбросок Телосложения. При провале концентрация существа нарушается.<br>
Когда вы накладываете это заклинание, а также в конце каждого хода, когда вы на нём концентрируетесь, все существа, находящиеся на земле в области заклинания, должны совершать спасброски Ловкости. При провале существо сбивается с ног.<br>
У этого заклинания могут быть другие эффекты, зависящие от местности, на усмотрение Мастера.<br>
<b>Трещины</b>. В области заклинания в начале вашего хода, следующего за тем, в котором вы наложили это заклинание, появляются трещины. Появляется 1к6 трещин в местах, определённых Мастером. Каждая 1к10 × 10 футов глубиной, 10 футов в ширину, а длиной от одного края заклинания до другого. Существо, стоящее в месте, где должна появиться трещина, должно преуспеть в спасброске Ловкости, иначе упадёт внутрь. Успешно спасшееся существо перемещается вместе с одним из краёв трещины.<br>
Трещины, открывающиеся под зданиями, заставляют их автоматически обрушиться (смотрите ниже).<br>
<b>Здания</b>. Толчки причиняют 50 дробящего урона строениям, находящимся в контакте с землёй, когда вы накладываете это заклинание, а также в начале каждого вашего хода, пока заклинание активно. Если хиты здания опускаются до 0, оно обрушивается, и потенциально может причинить урон существам. Существо, находящееся в пределах половины высоты здания, должно совершить спасбросок Ловкости. При провале существо получает дробящий урон 5к6, сбивается с ног и погребается под завалами, после чего для высвобождения требуется проверка Силы (Атлетика) Сл 20, совершённая действием. Мастер может корректировать Сл, в зависимости от характера обломков. В случае успеха существо получает половину урона, не сбивается с ног и не погребается.<br>";"жрец"
